palavra,classe_gramatical,assunto,CM,letra
POR-DO-SOL,LOC.ADV.,PLANTA/FLOR/NATUREZA,cg42,P
PORCARIA,SUBSTANTIVO,NENHUM,cg64,P
PORCENTAGEM,SUBSTANTIVO,NENHUM,cg49,P
PORCO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61,P
PORCO-ESPINHO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01,P
PORNOGRAFIA,SUBSTANTIVO,NENHUM,cg14,P
PORQUE,CONJ.,NENHUM,cg14,P
PORRADA,SUBSTANTIVO,NENHUM,cg02,P
PORRE,SUBSTANTIVO,NENHUM,cg37a,P
PORTA-MALAS,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg02,P
PORTA-RETRATO,SUBSTANTIVO,CASA,cg08a,P
PORTA1,SUBSTANTIVO,CASA,cg61,P
PORTAO,SUBSTANTIVO,CASA,cg58,P
PORTAO AUTOMATICO,SUBSTANTIVO,CASA,cg40,P
PORTARIA,SUBSTANTIVO,NENHUM,cg61,P
PORTEIRO,SUBSTANTIVO,NENHUM,cg14,P
PORTO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg63,P
PORTO ALEGRE,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg42,P
PORTO VELHO,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg02,P
PORTUGAL,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg57,P
PORTUGUES,ADJETIVO,NENHUM,cg57,P
POSICAO,SUBSTANTIVO,NENHUM,cg18a,P
POSITIVO,ADJETIVO,HIGIENE/SAÚDE,cg14,P
POSSIBILIDADE,SUBSTANTIVO,NENHUM,cg05,P
POSSIVEL,ADJETIVO,NENHUM,cg05,P
POSTE,SUBSTANTIVO,NENHUM,cg51a,P
POSTERIOR,ADJETIVO,NENHUM,cg14,P
POSTICO,ADJETIVO,NENHUM,cg01,P
POSTO DE GASOLINA,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg42,P
POSTO DE SAUDE,SUBSTANTIVO,HIGIENE/SAÚDE,cg35a,P
POSTURA,SUBSTANTIVO,NENHUM,cg18a,P
POTE1,SUBSTANTIVO,NENHUM,cg63,P
POTE2,SUBSTANTIVO,NENHUM,cg47,P
POTENCIAL,SUBSTANTIVO,NENHUM,cg05,P
POTENTE,ADJETIVO,NENHUM,cg02,P
POUCO1,ADJETIVO,NENHUM,cg04,P
POUCO2,SUBSTANTIVO,NENHUM,cg21,P
POUPAR1,VERBO,NENHUM,cg02,P
POUPAR2,VERBO,NENHUM,cg53a,P
POUSAR,VERBO,NENHUM,cg40,P
POVO,SUBSTANTIVO,NENHUM,cg35a,P
PRACA2,SUBSTANTIVO,NENHUM,cg64,P
PRACA3,SUBSTANTIVO,NENHUM,cg47,P
PRAIA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63,P
PRANCHA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24,P
PRATA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg47,P
PRATEADO,ADJETIVO,NENHUM,cg64,P
PRATELEIRA,SUBSTANTIVO,CASA,cg61,P
PRATICA,SUBSTANTIVO,NENHUM,cg63,P
PRATICAR,VERBO,NENHUM,cg63,P
PRATO,SUBSTANTIVO,CASA,cg11,P
PRAZER1,SUBSTANTIVO,SENTIMENTOS,cg01,P
PRAZER2,SUBSTANTIVO,SENTIMENTOS,cg63,P
PRAZER3,SUBSTANTIVO,SENTIMENTOS,cg55,P
PRAZO1,SUBSTANTIVO,NENHUM,cg01,P
PRAZO2,SUBSTANTIVO,NENHUM,cg64,P
PRECARIO,ADJETIVO,NENHUM,cg07,P
PRECE,SUBSTANTIVO,NENHUM,cg62,P
PRECIOSO,ADJETIVO,NENHUM,cg38,P
PRECIPITAR,VERBO,NENHUM,cg07,P
PRECISAO,SUBSTANTIVO,NENHUM,cg49,P
PRECISAR,VERBO,NENHUM,cg05,P
PRECO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20,P
PRECOCE,ADJETIVO,NENHUM,cg08a,P
PRECONCEITO,SUBSTANTIVO,SENTIMENTOS,cg64,P
PREDIO1,SUBSTANTIVO,NENHUM,cg63,P
PREDIO2,SUBSTANTIVO,NENHUM,cg14,P
PREENCHER,VERBO,NENHUM,cg20,P
PREFEITO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg23,P
PREFEITURA,SUBSTANTIVO,NENHUM,cg23,P
PREFERIR,VERBO,NENHUM,cg20,P
PREGO,SUBSTANTIVO,NENHUM,cg47,P
PREGUICA1,SUBSTANTIVO,NENHUM,cg40,P
PREGUICA2,SUBSTANTIVO,NENHUM,cg44,P
PREGUICA3,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg40,P
PREJUDICAR,VERBO,NENHUM,cg05,P
PREJUIZO,SUBSTANTIVO,NENHUM,cg57,P
PREMATURO,ADJETIVO,NENHUM,cg63,P
PREMIO1,SUBSTANTIVO,NENHUM,cg11,P
PREMIO2,SUBSTANTIVO,NENHUM,cg08b,P
PRENDEDOR DE ROUPAS,SUBSTANTIVO,CASA,cg23,P
PRENDER1,VERBO,NENHUM,cg32,P
PRENDER2,VERBO,NENHUM,cg02,P
PREOCUPAR,VERBO,NENHUM,cg15,P
PREPARAR,VERBO,NENHUM,cg49,P
PRESENCA,SUBSTANTIVO,NENHUM,cg44,P
PRESENTE1,SUBSTANTIVO,NENHUM,cg23,P
PRESENTE2,ADJETIVO,NENHUM,cg44,P
PRESENTE3,ADJETIVO,NENHUM,cg63,P
PRESENTEAR,VERBO,NENHUM,cg23,P
PRESERVAR,VERBO,NENHUM,cg64,P
PRESIDENTE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg11,P
PRESIDENTE DA REPUBLICA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,P
PRESIDIARIO,SUBSTANTIVO,NENHUM,cg32,P
PRESO,SUBSTANTIVO,NENHUM,cg32,P
PRESSA,SUBSTANTIVO,NENHUM,cg51a,P
PRESSAO,SUBSTANTIVO,NENHUM,cg47,P
PRESSENTIMENTO,SUBSTANTIVO,SENTIMENTOS,cg47,P
PRESSENTIR,VERBO,NENHUM,cg47,P
PRESTACAO1,SUBSTANTIVO,NUMERAL/DINHEIRO,cg64,P
PRESTACAO2,SUBSTANTIVO,ANO SIDERAL,cg01,P
PRESTAR ATE NCAO,VERBO,NENHUM,cg32,P
PRESTAR CUNCURSO,VERBO,NENHUM,cg14,P
PRESTAR SERVICO,VERBO,NENHUM,cg14,P
PRESUNTO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg47,P
PRETENDER,VERBO,NENHUM,cg02,P
PRETO1,ADJETIVO,COR/FORMA,cg33,P
PRETO2,ADJETIVO,COR/FORMA,cg05,P
PREVENCAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg40,P
PRIMAVERA,SUBSTANTIVO,ANO SIDERAL,cg54,P
PRIMEIRA VEZ,LOC.ADV.,NUMERAL/DINHEIRO,cg07,P
PRIMEIRO1,NUM.,NUMERAL/DINHEIRO,cg07,P
PRIMEIRO2,ADV.,NUMERAL/DINHEIRO,cg07,P
PRIMO,SUBSTANTIVO,FAMÍLIA,cg14,P
PRINCESA,SUBSTANTIVO,NENHUM,cg07,P
PRINCIPAL,ADJETIVO,NENHUM,cg61,P
PRINCIPE,SUBSTANTIVO,NENHUM,cg08a,P
PRINCIPIO,SUBSTANTIVO,NENHUM,cg53a,P
PRIORIDADE,SUBSTANTIVO,NENHUM,cg61,P
PRISAO,SUBSTANTIVO,NENHUM,cg32,P
PRIVADA,SUBSTANTIVO,HIGIENE/SAÚDE,cg01,P
PRIVADO,SUBSTANTIVO,NENHUM,cg28,P
PROBLEMA,SUBSTANTIVO,NENHUM,cg14,P
PROBLEMATICO,ADJETIVO,NENHUM,cg14,P
PROCESSAR,VERBO,NENHUM,cg63,P
PROCURAR,VERBO,NENHUM,cg47,P
PRODUCAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14,P
PRODUZIR,VERBO,NENHUM,cg62,P
PROFESSOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg11,P
PROFISSAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a,P
PROFISSIONAL,ADJETIVO,PROFISSÃO/TRABALHO,cg63,P
PROFUNDO,ADJETIVO,NENHUM,cg14,P
PROGRAMA1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg53a,P
PROGRAMA2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg08a,P
PROGREDIR,VERBO,NENHUM,cg53a,P
PROGRESSO,SUBSTANTIVO,NENHUM,cg53a,P
PROIBIR,VERBO,NENHUM,cg14,P
PROJETO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49,P
PROJETOR DE SLIDES,SUBSTANTIVO,APARELHO/MÁQUINA,cg42,P
PROLONGADO,ADJETIVO,NENHUM,cg44,P
PROLONGAR,VERBO,NENHUM,cg53a,P
PROMETER,VERBO,NENHUM,cg63,P
PROMOCAO,SUBSTANTIVO,NENHUM,cg20,P
PROMOVER,VERBO,NENHUM,cg53a,P
PRONTO,ADJETIVO,NENHUM,cg33,P
PROPAGANDA,SUBSTANTIVO,NENHUM,cg40,P
PROPORCIONAL,ADJETIVO,NENHUM,cg61,P
PROPOSITO,SUBSTANTIVO,NENHUM,cg14,P
PROPOSTA,SUBSTANTIVO,NENHUM,cg52,P
PROPRIEDADE,SUBSTANTIVO,NENHUM,cg11,P
PROPRIETARIO,SUBSTANTIVO,NENHUM,cg25,P
PROPRIO,ADJETIVO,NENHUM,cg11,P
PRORROGAR,VERBO,NENHUM,cg53a,P
PROSA,ADJETIVO,NENHUM,cg40,P
PROSPERAR,VERBO,NENHUM,cg14,P
PROSSEGUIR,VERBO,NENHUM,cg32,P
PROSTITUICAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,P
PROSTITUTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14,P
PROTECAO,SUBSTANTIVO,NENHUM,cg14,P
PROTEGER1,VERBO,NENHUM,cg14,P
PROTEGER2,VERBO,NENHUM,cg53b,P
PROTESE AUDITIVA,SUBSTANTIVO,APARELHO/MÁQUINA,cg15,P
PROTESTANTE,ADJETIVO,NENHUM,cg63,P
PROTESTAR,VERBO,NENHUM,cg05,P
PROVA,SUBSTANTIVO,NENHUM,cg53a,P
PROVAR1,VERBO,NENHUM,cg63,P
PROVAR2,VERBO,NENHUM,cg44,P
PROVAR3,VERBO,NENHUM,cg02,P
PROVAR4,VERBO,NENHUM,cg01,P
PROVAVEL,ADJETIVO,NENHUM,cg02,P
PROVIDENCIAR,VERBO,NENHUM,cg08a,P
PROVISORIO,ADJETIVO,NENHUM,cg14,P
PROVOCACAO,SUBSTANTIVO,NENHUM,cg14,P
PROVOCAR1,VERBO,NENHUM,cg14,P
PROVOCAR2,VERBO,NENHUM,cg14,P
PROXIMO1,ADJETIVO,NENHUM,cg52,P
PROXIMO2,ADJETIVO,NENHUM,cg14,P
PSICOLOGIA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,P
PSIQUIATRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg15,P
PUBLICAR1,VERBO,NENHUM,cg40,P
PUBLICAR2,VERBO,NENHUM,cg63,P
PUBLICIDADE,VERBO,PROFISSÃO/TRABALHO,cg40,P
PUBLICO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg35a,P
PUBLICO2,SUBSTANTIVO,NENHUM,cg63,P
PUDIM,SUBSTANTIVO,ALIMENTO/BEBIDA,cg12,P
PUGILISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,P
PULAR1,VERBO,NENHUM,cg32,P
PULAR2,VERBO,NENHUM,cg32,P
PULAR3,VERBO,NENHUM,cg53a,P
PULAR4,VERBO,NENHUM,cg62,P
PULAR5,VERBO,NENHUM,cg05,P
PULAR6,VERBO,NENHUM,cg47,P
PULAR7,VERBO,NENHUM,cg11,P
PULGA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg05,P
PULMAO,SUBSTANTIVO,CORPO,cg63,P
PULSAR,VERBO,NENHUM,cg61,P
PULSEIRA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg02,P
PULSO,SUBSTANTIVO,CORPO,cg14,P
PUNHO,SUBSTANTIVO,CORPO,cg18a,P
PUPILA,SUBSTANTIVO,CORPO,cg14,P
PURO,ADJETIVO,NENHUM,cg30,P
PUS,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,P
PUTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg60,P
PUXA SACO,ADJETIVO,NENHUM,cg02,P
PUXAR,VERBO,NENHUM,cg02,P
Q,SUBSTANTIVO,NENHUM,cg09,Q
QUADRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14,Q
QUADRADO1,ADJETIVO,NENHUM,cg61,Q
QUADRADO2,ADJETIVO,COR/FORMA,cg14,Q
QUADRADO3,ADJETIVO,NENHUM,cg08a,Q
QUADRIL,SUBSTANTIVO,CORPO,cg51b,Q
QUADRILHA1,SUBSTANTIVO,NENHUM,cg47,Q
QUADRILHA2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24,Q
QUADRO,SUBSTANTIVO,CASA,cg08a,Q
QUADRO-NEGRO,SUBSTANTIVO,NENHUM,cg14,Q
QUAL1,PRONOME,NENHUM,cg64,Q
QUAL2,PRONOME,NENHUM,cg14,Q
QUAL3,PRONOME,NENHUM,cg63,Q
QUALIDADE,SUBSTANTIVO,NENHUM,cg44,Q
QUALQUER,PRONOME,NENHUM,cg63,Q
QUANDO1,ADV.,NENHUM,cg13,Q
QUANDO2,ADV.,NENHUM,cg63,Q
QUANTIDADE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg58,Q
QUANTO,PRONOME,NUMERAL/DINHEIRO,cg20,Q
QUANTOS,PRONOME,NENHUM,cg58,Q
QUARENTA,NUM.,NUMERAL/DINHEIRO,cg58,Q
QUARTA -DE- FINAL,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg58,Q
QUARTA SERIE,LOC. SUBST.,NUMERAL/DINHEIRO,cg58,Q
QUARTA-FEIRA,SUBSTANTIVO,ANO SIDERAL,cg58,Q
QUARTEL,SUBSTANTIVO,NENHUM,cg61,Q
QUARTO1,NUM.,NUMERAL/DINHEIRO,cg58,Q
QUARTO2,SUBSTANTIVO,CASA,cg02,Q
QUARTO3,SUBSTANTIVO,CASA,cg02,Q
QUARTO4,SUBSTANTIVO,CASA,cg02,Q
QUASE1,ADV.,NENHUM,cg01,Q
QUASE2,ADV.,NENHUM,cg64,Q
QUATORZE,NUM.,NUMERAL/DINHEIRO,cg07,Q
QUATRO,NUM.,NUMERAL/DINHEIRO,cg58,Q
QUATROCENTOS,NUM.,NUMERAL/DINHEIRO,cg58,Q
QUE-ISSO,LOC.ADV.,NENHUM,cg20,Q
QUE-ISTO ( COISA ),LOC.ADV.,NENHUM,cg14,Q
QUE1,PRONOME,NENHUM,cg20,Q
QUE2,PRONOME,NENHUM,cg20,Q
QUEBRA-CABECA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg44,Q
QUEBRA-MOLAS,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg62,Q
QUEBRADO,ADJETIVO,NENHUM,cg02,Q
QUEBRAR1,VERBO,NENHUM,cg02,Q
QUEBRAR2,VERBO,NENHUM,cg64,Q
QUEBRAR3,VERBO,NENHUM,cg02,Q
QUEBRAR4,VERBO,NENHUM,cg02,Q
QUEDA,SUBSTANTIVO,NENHUM,cg64,Q
QUEDA D' AGUA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,Q
QUEIJO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg08a,Q
QUEIMADO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg47,Q
QUEIMADO2,ADJETIVO,NENHUM,cg47,Q
QUEIMADURA,SUBSTANTIVO,HIGIENE/SAÚDE,cg50,Q
QUEIMAR,VERBO,NENHUM,cg47,Q
QUEIXO,SUBSTANTIVO,CORPO,cg50,Q
QUEM1,PRONOME,NENHUM,cg20,Q
QUEM2,PRONOME,NENHUM,cg09,Q
QUEM3,PRONOME,NENHUM,cg20,Q
QUENTE,ADJETIVO,NENHUM,cg50,Q
QUERER,VERBO,NENHUM,cg47,Q
QUERER-NAO,LOC.VERB.,NENHUM,cg47,Q
QUESTAO,SUBSTANTIVO,NENHUM,cg14,Q
QUESTIONARIO,SUBSTANTIVO,NENHUM,cg14,Q
QUIABO,SUBSTANTIVO,LEGUME/VERDURA,cg09,Q
QUIBE1,SUBSTANTIVO,ALIMENTO/BEBIDA,cg11,Q
QUIBE2,SUBSTANTIVO,ALIMENTO/BEBIDA,cg57,Q
QUIETO,ADJETIVO,NENHUM,cg61,Q
QUILO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg63,Q
QUILOMETRO,SUBSTANTIVO,NENHUM,cg11,Q
QUIMICA,SUBSTANTIVO,NENHUM,cg39,Q
QUINTA SERIE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg31,Q
QUINTA-FEIRA,SUBSTANTIVO,ANO SIDERAL,cg31,Q
QUINTAL,SUBSTANTIVO,CASA,cg64,Q
QUINTO,NUM.,NUMERAL/DINHEIRO,cg31,Q
QUINZE,NUM.,NUMERAL/DINHEIRO,cg07,Q
QUINZENA,SUBSTANTIVO,ANO SIDERAL,cg07,Q
QUIOSQUE,SUBSTANTIVO,NENHUM,cg47,Q
QUITADO,ADJETIVO,NENHUM,cg64,Q
QUITAR1,VERBO,NENHUM,cg42,Q
QUITAR2,VERBO,NENHUM,cg61,Q
QUITAR3,VERBO,NENHUM,cg05,Q
QUITE,ADJETIVO,NENHUM,cg61,Q
QUIUI,SUBSTANTIVO,FRUTA,cg15,Q
R,SUBSTANTIVO,NENHUM,cg25,R
RA1,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg22b,R
RA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg26,R
RABANETE,SUBSTANTIVO,LEGUME/VERDURA,cg42,R
RABINO,SUBSTANTIVO,NENHUM,cg14,R
RABISCAR,VERBO,NENHUM,cg20,R
RABO,SUBSTANTIVO,NENHUM,cg14,R
RACA1,SUBSTANTIVO,NENHUM,cg01,R
RACA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01,R
RACHAR,VERBO,NENHUM,cg61,R
RACIOCINAR,VERBO,NENHUM,cg64,R
RACIOCINIO,SUBSTANTIVO,NENHUM,cg64,R
RADAR1,SUBSTANTIVO,APARELHO/MÁQUINA,cg50,R
RADAR2,SUBSTANTIVO,APARELHO/MÁQUINA,cg14,R
RADICAL,ADJETIVO,NENHUM,cg05,R
RADIO,SUBSTANTIVO,APARELHO/MÁQUINA,cg52,R
RAINHA,SUBSTANTIVO,NENHUM,cg18a,R
RAIOS X,SUBSTANTIVO,APARELHO/MÁQUINA,cg57,R
RAIVA,SUBSTANTIVO,SENTIMENTOS,cg02,R
RAIZ,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg02,R
RALADOR,SUBSTANTIVO,CASA,cg01,R
RALAR,VERBO,NENHUM,cg01,R
RAMALHETE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg54,R
RAMPA,SUBSTANTIVO,NENHUM,cg63,R
RANCOR,SUBSTANTIVO,SENTIMENTOS,cg02,R
RANGER,VERBO,NENHUM,cg01,R
RAPAZ,SUBSTANTIVO,NENHUM,cg52,R
RAPIDO1,ADJETIVO,NENHUM,cg61,R
RAPIDO2,ADJETIVO,NENHUM,cg02,R
RAPIDO3,ADJETIVO,NENHUM,cg07,R
RAPIDO4,ADV.,NENHUM,cg51a,R
RAPOSA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg44,R
RAPTAR,VERBO,NENHUM,cg02,R
RAPTO,SUBSTANTIVO,NENHUM,cg02,R
RAQUETE,SUBSTANTIVO,NENHUM,cg02,R
RARO,ADJETIVO,NENHUM,cg02,R
RASCUNHO,SUBSTANTIVO,NENHUM,cg02,R
RASGAR1,VERBO,NENHUM,cg05,R
RASGAR2,VERBO,NENHUM,cg02,R
RASO,ADJETIVO,NENHUM,cg63,R
RASPAR,VERBO,NENHUM,cg53a,R
RASTEJAR1,VERBO,NENHUM,cg14,R
RASTEJAR2,VERBO,NENHUM,cg01,R
RASURA,SUBSTANTIVO,NENHUM,cg05,R
RATAZANA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,R
RATO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,R
RATOEIRA,SUBSTANTIVO,NENHUM,cg18a,R
RAZAO,SUBSTANTIVO,NENHUM,cg25,R
RAZOAVEL,ADJETIVO,NENHUM,cg64,R
RE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg25,R
REAGIR,VERBO,NENHUM,cg02,R
REAL1,SUBSTANTIVO,NUMERAL/DINHEIRO,cg01,R
REAL2,ADJETIVO,NENHUM,cg34,R
REALIDADE,SUBSTANTIVO,NENHUM,cg34,R
REALIZAR,VERBO,NENHUM,cg01,R
REBAIXADO,ADJETIVO,NENHUM,cg61,R
REBELDE,ADJETIVO,NENHUM,cg02,R
REBELIAO,SUBSTANTIVO,NENHUM,cg47,R
REBOCAR,VERBO,NENHUM,cg15,R
REBOCAR2,VERBO,NENHUM,cg62,R
REBOLAR,VERBO,NENHUM,cg57,R
REBOQUE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg15,R
RECADO1,SUBSTANTIVO,NENHUM,cg25,R
RECADO2,SUBSTANTIVO,NENHUM,cg18a,R
RECEBER,VERBO,NENHUM,cg02,R
RECEIO,SUBSTANTIVO,SENTIMENTOS,cg33,R
RECEITA1,SUBSTANTIVO,NENHUM,cg53a,R
RECEITA2,SUBSTANTIVO,NENHUM,cg19,R
RECEM,ADV.,NENHUM,cg42,R
RECENTE,ADJETIVO,NENHUM,cg21,R
RECHEIO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg63,R
RECHONCHUDO,ADJETIVO,NENHUM,cg40,R
RECIBO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg37a,R
RECIFE,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg47,R
RECLAMAR,VERBO,NENHUM,cg14,R
RECOLHER,VERBO,NENHUM,cg02,R
RECONCILIACAO,SUBSTANTIVO,NENHUM,cg14,R
RECONCILIAR,VERBO,NENHUM,cg14,R
RECONHECER,VERBO,NENHUM,cg32,R
RECORDACAO,SUBSTANTIVO,NENHUM,cg32,R
RECORDAR,VERBO,NENHUM,cg32,R
RECORTAR,VERBO,NENHUM,cg32,R
RECREIO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05,R
RECUAR,VERBO,NENHUM,cg53a,R
RECUPERACAO1,SUBSTANTIVO,NENHUM,cg02,R
RECUPERACAO2,SUBSTANTIVO,NENHUM,cg25,R
RECUPERAR,VERBO,NENHUM,cg02,R
RECURSO1,SUBSTANTIVO,NENHUM,cg20,R
RECURSO2,SUBSTANTIVO,NENHUM,cg14,R
RECUSAR,VERBO,NENHUM,cg47,R
REDACAO,SUBSTANTIVO,NENHUM,cg05,R
REDE 1,SUBSTANTIVO,CASA,cg24,R
REDE 2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05,R
REDE3,SUBSTANTIVO,APARELHO/MÁQUINA,cg25,R
REDEA,SUBSTANTIVO,NENHUM,cg05,R
REDONDO,ADJETIVO,COR/FORMA,cg18a,R
REDOR,SUBSTANTIVO,NENHUM,cg14,R
REDUCAO,SUBSTANTIVO,NENHUM,cg21,R
REDUZIR,VERBO,NENHUM,cg08a,R
REFEICAO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg53a,R
REFLETIR1,VERBO,NENHUM,cg14,R
REFLETIR2,VERBO,NENHUM,cg14,R
REFLEXO,SUBSTANTIVO,NENHUM,cg55,R
REFORCO,SUBSTANTIVO,NENHUM,cg02,R
REFORMA1,SUBSTANTIVO,NENHUM,cg02,R
REFORMA2,SUBSTANTIVO,NENHUM,cg47,R
REFORMAR,VERBO,NENHUM,cg02,R
REFRESCAR,VERBO,NENHUM,cg63,R
REFRIGERANTE1,SUBSTANTIVO,NENHUM,cg14,R
REFRIGERANTE2,SUBSTANTIVO,NENHUM,cg05,R
REGER,VERBO,NENHUM,cg14,R
REGIAO,SUBSTANTIVO,NENHUM,cg47,R
REGIME,SUBSTANTIVO,NENHUM,cg38,R
REGIMENTO,SUBSTANTIVO,NENHUM,cg61,R
REGIONAL,ADJETIVO,NENHUM,cg47,R
REGISTRO,SUBSTANTIVO,NENHUM,cg02,R
REGRA,SUBSTANTIVO,NENHUM,cg25,R
REGRESSAR,VERBO,NENHUM,cg15,R
REGUA1,SUBSTANTIVO,NENHUM,cg63,R
REGUA2,SUBSTANTIVO,NENHUM,cg21,R
REGULAR1,VERBO,NENHUM,cg45,R
REGULAR2,ADJETIVO,NENHUM,cg64,R
REI,SUBSTANTIVO,NENHUM,cg18a,R
REINO,SUBSTANTIVO,NENHUM,cg18a,R
REITOR,SUBSTANTIVO,NENHUM,cg25,R
REIVINDICAR,VERBO,NENHUM,cg14,R
REJEITADO,ADJETIVO,NENHUM,cg44,R
REJEITAR,VERBO,NENHUM,cg63,R
RELACAO SEXUAL,SUBSTANTIVO,NENHUM,cg01,R
RELACAO1,SUBSTANTIVO,NENHUM,cg53a,R
RELACAO2,SUBSTANTIVO,NENHUM,cg14,R
RELACIONAMENTO,SUBSTANTIVO,NENHUM,cg14,R
RELACIONAR,VERBO,NENHUM,cg14,R
RELAMPAGO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14,R
RELATAR,VERBO,NENHUM,cg40,R
RELATORIO,SUBSTANTIVO,NENHUM,cg25,R
RELAXADO1,ADJETIVO,NENHUM,cg63,R
RELAXADO2,ADJETIVO,NENHUM,cg64,R
RELAXAMENTO,SUBSTANTIVO,NENHUM,cg64,R
RELAXAR,VERBO,NENHUM,cg64,R
RELIGIAO,SUBSTANTIVO,NENHUM,cg25,R
RELOGIO1,SUBSTANTIVO,APARELHO/MÁQUINA,cg08a,R
RELOGIO2,SUBSTANTIVO,APARELHO/MÁQUINA,cg08a,R
REMAR,VERBO,NENHUM,cg02,R
REMEDIO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg02,R
REMETER,VERBO,NENHUM,cg24,R
REMORSO,SUBSTANTIVO,SENTIMENTOS,cg47,R
RENDA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20,R
RENOVAR,VERBO,NENHUM,cg08a,R
RENUNCIAR,VERBO,NENHUM,cg33,R
REPARAR,VERBO,NENHUM,cg14,R
REPARTIR,VERBO,NENHUM,cg63,R
REPETICAO,SUBSTANTIVO,NENHUM,cg08a,R
REPETIR,VERBO,NENHUM,cg08a,R
REPOLHO,SUBSTANTIVO,LEGUME/VERDURA,cg47,R
REPORTER,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,R
REPOUSAR,VERBO,NENHUM,cg63,R
REPREENDER,VERBO,NENHUM,cg14,R
REPRESENTANTE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg25,R
REPRESENTAR,VERBO,NENHUM,cg25,R
REPROVADO,ADJETIVO,NENHUM,cg25,R
REPROVAR,VERBO,NENHUM,cg25,R
RESERVA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,R
RESERVADO,ADJETIVO,NENHUM,cg02,R
RESERVAR1,VERBO,NENHUM,cg53a,R
RESERVAR2,VERBO,NENHUM,cg02,R
