palavra,classe_gramatical,assunto,CM
POLVO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg47
POMADA,SUBSTANTIVO,HIGIENE/SAÚDE,cg63
POMBO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20
PONEI,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg27
PONTA,SUBSTANTIVO,COR/FORMA,cg61
PONTAPE,SUBSTANTIVO,NENHUM,cg53a
PONTE,SUBSTANTIVO,NENHUM,cg32
PONTEIRO1,SUBSTANTIVO,APARELHO/MÁQUINA,cg14
PONTEIRO2,SUBSTANTIVO,APARELHO/MÁQUINA,cg14
PONTO-1,NUM.,NUMERAL/DINHEIRO,cg32
PONTO1,SUBSTANTIVO,NENHUM,cg14
PONTO2,SUBSTANTIVO,HIGIENE/SAÚDE,cg47
PONTO3,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg07
PONTO4,SUBSTANTIVO,NENHUM,cg14
PONTO5,SUBSTANTIVO,NENHUM,cg14
PONTO6,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg61
PONTO7,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg49
PONTUACAO,SUBSTANTIVO,NENHUM,cg02
PONTUAL,ADJETIVO,NENHUM,cg61
POPULACAO,SUBSTANTIVO,NENHUM,cg35a
POR,VERBO,NENHUM,cg63
POR ACASO,LOC.ADV.,NENHUM,cg40
POR CAUSA,LOC.ADV.,NENHUM,cg24
POR FAVOR,LOC.ADV.,NENHUM,cg63
POR ISSO,LOC. CONJ.,NENHUM,cg24
POR-DO-SOL,LOC.ADV.,PLANTA/FLOR/NATUREZA,cg42
PORCARIA,SUBSTANTIVO,NENHUM,cg64
PORCENTAGEM,SUBSTANTIVO,NENHUM,cg49
PORCO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61
PORCO-ESPINHO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01
PORNOGRAFIA,SUBSTANTIVO,NENHUM,cg14
PORQUE,CONJ.,NENHUM,cg14
PORRADA,SUBSTANTIVO,NENHUM,cg02
PORRE,SUBSTANTIVO,NENHUM,cg37a
PORTA-MALAS,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg02
PORTA-RETRATO,SUBSTANTIVO,CASA,cg08a
PORTA1,SUBSTANTIVO,CASA,cg61
PORTAO,SUBSTANTIVO,CASA,cg58
PORTAO AUTOMATICO,SUBSTANTIVO,CASA,cg40
PORTARIA,SUBSTANTIVO,NENHUM,cg61
PORTEIRO,SUBSTANTIVO,NENHUM,cg14
PORTO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg63
PORTO ALEGRE,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg42
PORTO VELHO,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg02
PORTUGAL,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg57
PORTUGUES,ADJETIVO,NENHUM,cg57
POSICAO,SUBSTANTIVO,NENHUM,cg18a
POSITIVO,ADJETIVO,HIGIENE/SAÚDE,cg14
POSSIBILIDADE,SUBSTANTIVO,NENHUM,cg05
POSSIVEL,ADJETIVO,NENHUM,cg05
POSTE,SUBSTANTIVO,NENHUM,cg51a
POSTERIOR,ADJETIVO,NENHUM,cg14
POSTICO,ADJETIVO,NENHUM,cg01
POSTO DE GASOLINA,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg42
POSTO DE SAUDE,SUBSTANTIVO,HIGIENE/SAÚDE,cg35a
POSTURA,SUBSTANTIVO,NENHUM,cg18a
POTE1,SUBSTANTIVO,NENHUM,cg63
POTE2,SUBSTANTIVO,NENHUM,cg47
POTENCIAL,SUBSTANTIVO,NENHUM,cg05
POTENTE,ADJETIVO,NENHUM,cg02
POUCO1,ADJETIVO,NENHUM,cg04
POUCO2,SUBSTANTIVO,NENHUM,cg21
POUPAR1,VERBO,NENHUM,cg02
POUPAR2,VERBO,NENHUM,cg53a
POUSAR,VERBO,NENHUM,cg40
POVO,SUBSTANTIVO,NENHUM,cg35a
PRACA2,SUBSTANTIVO,NENHUM,cg64
PRACA3,SUBSTANTIVO,NENHUM,cg47
PRAIA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63
PRANCHA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24
PRATA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg47
PRATEADO,ADJETIVO,NENHUM,cg64
PRATELEIRA,SUBSTANTIVO,CASA,cg61
PRATICA,SUBSTANTIVO,NENHUM,cg63
PRATICAR,VERBO,NENHUM,cg63
PRATO,SUBSTANTIVO,CASA,cg11
PRAZER1,SUBSTANTIVO,SENTIMENTOS,cg01
PRAZER2,SUBSTANTIVO,SENTIMENTOS,cg63
PRAZER3,SUBSTANTIVO,SENTIMENTOS,cg55
PRAZO1,SUBSTANTIVO,NENHUM,cg01
PRAZO2,SUBSTANTIVO,NENHUM,cg64
PRECARIO,ADJETIVO,NENHUM,cg07
PRECE,SUBSTANTIVO,NENHUM,cg62
PRECIOSO,ADJETIVO,NENHUM,cg38
PRECIPITAR,VERBO,NENHUM,cg07
PRECISAO,SUBSTANTIVO,NENHUM,cg49
PRECISAR,VERBO,NENHUM,cg05
PRECO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20
PRECOCE,ADJETIVO,NENHUM,cg08a
PRECONCEITO,SUBSTANTIVO,SENTIMENTOS,cg64
PREDIO1,SUBSTANTIVO,NENHUM,cg63
PREDIO2,SUBSTANTIVO,NENHUM,cg14
PREENCHER,VERBO,NENHUM,cg20
PREFEITO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg23
PREFEITURA,SUBSTANTIVO,NENHUM,cg23
PREFERIR,VERBO,NENHUM,cg20
PREGO,SUBSTANTIVO,NENHUM,cg47
PREGUICA1,SUBSTANTIVO,NENHUM,cg40
PREGUICA2,SUBSTANTIVO,NENHUM,cg44
PREGUICA3,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg40
PREJUDICAR,VERBO,NENHUM,cg05
PREJUIZO,SUBSTANTIVO,NENHUM,cg57
PREMATURO,ADJETIVO,NENHUM,cg63
PREMIO1,SUBSTANTIVO,NENHUM,cg11
PREMIO2,SUBSTANTIVO,NENHUM,cg08b
PRENDEDOR DE ROUPAS,SUBSTANTIVO,CASA,cg23
PRENDER1,VERBO,NENHUM,cg32
PRENDER2,VERBO,NENHUM,cg02
PREOCUPAR,VERBO,NENHUM,cg15
PREPARAR,VERBO,NENHUM,cg49
PRESENCA,SUBSTANTIVO,NENHUM,cg44
PRESENTE1,SUBSTANTIVO,NENHUM,cg23
PRESENTE2,ADJETIVO,NENHUM,cg44
PRESENTE3,ADJETIVO,NENHUM,cg63
PRESENTEAR,VERBO,NENHUM,cg23
PRESERVAR,VERBO,NENHUM,cg64
PRESIDENTE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg11
PRESIDENTE DA REPUBLICA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63
PRESIDIARIO,SUBSTANTIVO,NENHUM,cg32
PRESO,SUBSTANTIVO,NENHUM,cg32
PRESSA,SUBSTANTIVO,NENHUM,cg51a
PRESSAO,SUBSTANTIVO,NENHUM,cg47
PRESSENTIMENTO,SUBSTANTIVO,SENTIMENTOS,cg47
PRESSENTIR,VERBO,NENHUM,cg47
PRESTACAO1,SUBSTANTIVO,NUMERAL/DINHEIRO,cg64
PRESTACAO2,SUBSTANTIVO,ANO SIDERAL,cg01
PRESTAR ATE NCAO,VERBO,NENHUM,cg32
PRESTAR CUNCURSO,VERBO,NENHUM,cg14
PRESTAR SERVICO,VERBO,NENHUM,cg14
PRESUNTO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg47
PRETENDER,VERBO,NENHUM,cg02
PRETO1,ADJETIVO,COR/FORMA,cg33
PRETO2,ADJETIVO,COR/FORMA,cg05
PREVENCAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg40
PRIMAVERA,SUBSTANTIVO,ANO SIDERAL,cg54
PRIMEIRA VEZ,LOC.ADV.,NUMERAL/DINHEIRO,cg07
PRIMEIRO1,NUM.,NUMERAL/DINHEIRO,cg07
PRIMEIRO2,ADV.,NUMERAL/DINHEIRO,cg07
PRIMO,SUBSTANTIVO,FAMÍLIA,cg14
PRINCESA,SUBSTANTIVO,NENHUM,cg07
PRINCIPAL,ADJETIVO,NENHUM,cg61
PRINCIPE,SUBSTANTIVO,NENHUM,cg08a
PRINCIPIO,SUBSTANTIVO,NENHUM,cg53a
PRIORIDADE,SUBSTANTIVO,NENHUM,cg61
PRISAO,SUBSTANTIVO,NENHUM,cg32
PRIVADA,SUBSTANTIVO,HIGIENE/SAÚDE,cg01
PRIVADO,SUBSTANTIVO,NENHUM,cg28
PROBLEMA,SUBSTANTIVO,NENHUM,cg14
PROBLEMATICO,ADJETIVO,NENHUM,cg14
PROCESSAR,VERBO,NENHUM,cg63
PROCURAR,VERBO,NENHUM,cg47
PRODUCAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14
PRODUZIR,VERBO,NENHUM,cg62
PROFESSOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg11
PROFISSAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a
PROFISSIONAL,ADJETIVO,PROFISSÃO/TRABALHO,cg63
PROFUNDO,ADJETIVO,NENHUM,cg14
PROGRAMA1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg53a
PROGRAMA2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg08a
PROGREDIR,VERBO,NENHUM,cg53a
PROGRESSO,SUBSTANTIVO,NENHUM,cg53a
PROIBIR,VERBO,NENHUM,cg14
PROJETO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49
PROJETOR DE SLIDES,SUBSTANTIVO,APARELHO/MÁQUINA,cg42
PROLONGADO,ADJETIVO,NENHUM,cg44
PROLONGAR,VERBO,NENHUM,cg53a
PROMETER,VERBO,NENHUM,cg63
PROMOCAO,SUBSTANTIVO,NENHUM,cg20
PROMOVER,VERBO,NENHUM,cg53a
PRONTO,ADJETIVO,NENHUM,cg33
PROPAGANDA,SUBSTANTIVO,NENHUM,cg40
PROPORCIONAL,ADJETIVO,NENHUM,cg61
PROPOSITO,SUBSTANTIVO,NENHUM,cg14
PROPOSTA,SUBSTANTIVO,NENHUM,cg52
PROPRIEDADE,SUBSTANTIVO,NENHUM,cg11
PROPRIETARIO,SUBSTANTIVO,NENHUM,cg25
PROPRIO,ADJETIVO,NENHUM,cg11
PRORROGAR,VERBO,NENHUM,cg53a
PROSA,ADJETIVO,NENHUM,cg40
PROSPERAR,VERBO,NENHUM,cg14
PROSSEGUIR,VERBO,NENHUM,cg32
PROSTITUICAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63
PROSTITUTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14
PROTECAO,SUBSTANTIVO,NENHUM,cg14
PROTEGER1,VERBO,NENHUM,cg14
PROTEGER2,VERBO,NENHUM,cg53b
PROTESE AUDITIVA,SUBSTANTIVO,APARELHO/MÁQUINA,cg15
PROTESTANTE,ADJETIVO,NENHUM,cg63
PROTESTAR,VERBO,NENHUM,cg05
PROVA,SUBSTANTIVO,NENHUM,cg53a
PROVAR1,VERBO,NENHUM,cg63
PROVAR2,VERBO,NENHUM,cg44
PROVAR3,VERBO,NENHUM,cg02
PROVAR4,VERBO,NENHUM,cg01
PROVAVEL,ADJETIVO,NENHUM,cg02
PROVIDENCIAR,VERBO,NENHUM,cg08a
PROVISORIO,ADJETIVO,NENHUM,cg14
PROVOCACAO,SUBSTANTIVO,NENHUM,cg14
PROVOCAR1,VERBO,NENHUM,cg14
PROVOCAR2,VERBO,NENHUM,cg14
PROXIMO1,ADJETIVO,NENHUM,cg52
PROXIMO2,ADJETIVO,NENHUM,cg14
PSICOLOGIA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63
PSIQUIATRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg15
PUBLICAR1,VERBO,NENHUM,cg40
PUBLICAR2,VERBO,NENHUM,cg63
PUBLICIDADE,VERBO,PROFISSÃO/TRABALHO,cg40
PUBLICO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg35a
PUBLICO2,SUBSTANTIVO,NENHUM,cg63
PUDIM,SUBSTANTIVO,ALIMENTO/BEBIDA,cg12
PUGILISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02
PULAR1,VERBO,NENHUM,cg32
PULAR2,VERBO,NENHUM,cg32
PULAR3,VERBO,NENHUM,cg53a
PULAR4,VERBO,NENHUM,cg62
PULAR5,VERBO,NENHUM,cg05
PULAR6,VERBO,NENHUM,cg47
PULAR7,VERBO,NENHUM,cg11
PULGA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg05
PULMAO,SUBSTANTIVO,CORPO,cg63
PULSAR,VERBO,NENHUM,cg61
PULSEIRA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg02
PULSO,SUBSTANTIVO,CORPO,cg14
PUNHO,SUBSTANTIVO,CORPO,cg18a
PUPILA,SUBSTANTIVO,CORPO,cg14
PURO,ADJETIVO,NENHUM,cg30
PUS,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
PUTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg60
PUXA SACO,ADJETIVO,NENHUM,cg02
PUXAR,VERBO,NENHUM,cg02
Q,SUBSTANTIVO,NENHUM,cg09
QUADRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14
QUADRADO1,ADJETIVO,NENHUM,cg61
QUADRADO2,ADJETIVO,COR/FORMA,cg14
QUADRADO3,ADJETIVO,NENHUM,cg08a
QUADRIL,SUBSTANTIVO,CORPO,cg51b
QUADRILHA1,SUBSTANTIVO,NENHUM,cg47
QUADRILHA2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24
QUADRO,SUBSTANTIVO,CASA,cg08a
QUADRO-NEGRO,SUBSTANTIVO,NENHUM,cg14
QUAL1,PRONOME,NENHUM,cg64
QUAL2,PRONOME,NENHUM,cg14
QUAL3,PRONOME,NENHUM,cg63
QUALIDADE,SUBSTANTIVO,NENHUM,cg44
QUALQUER,PRONOME,NENHUM,cg63
QUANDO1,ADV.,NENHUM,cg13
QUANDO2,ADV.,NENHUM,cg63
QUANTIDADE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg58
QUANTO,PRONOME,NUMERAL/DINHEIRO,cg20
QUANTOS,PRONOME,NENHUM,cg58
QUARENTA,NUM.,NUMERAL/DINHEIRO,cg58
QUARTA -DE- FINAL,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg58
QUARTA SERIE,LOC. SUBST.,NUMERAL/DINHEIRO,cg58
QUARTA-FEIRA,SUBSTANTIVO,ANO SIDERAL,cg58
QUARTEL,SUBSTANTIVO,NENHUM,cg61
QUARTO1,NUM.,NUMERAL/DINHEIRO,cg58
QUARTO2,SUBSTANTIVO,CASA,cg02
QUARTO3,SUBSTANTIVO,CASA,cg02
QUARTO4,SUBSTANTIVO,CASA,cg02
QUASE1,ADV.,NENHUM,cg01
QUASE2,ADV.,NENHUM,cg64
QUATORZE,NUM.,NUMERAL/DINHEIRO,cg07
QUATRO,NUM.,NUMERAL/DINHEIRO,cg58
QUATROCENTOS,NUM.,NUMERAL/DINHEIRO,cg58
QUE-ISSO,LOC.ADV.,NENHUM,cg20
QUE-ISTO ( COISA ),LOC.ADV.,NENHUM,cg14
QUE1,PRONOME,NENHUM,cg20
QUE2,PRONOME,NENHUM,cg20
QUEBRA-CABECA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg44
QUEBRA-MOLAS,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg62
QUEBRADO,ADJETIVO,NENHUM,cg02
QUEBRAR1,VERBO,NENHUM,cg02
QUEBRAR2,VERBO,NENHUM,cg64
QUEBRAR3,VERBO,NENHUM,cg02
QUEBRAR4,VERBO,NENHUM,cg02
QUEDA,SUBSTANTIVO,NENHUM,cg64
QUEDA D' AGUA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64
QUEIJO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg08a
QUEIMADO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg47
QUEIMADO2,ADJETIVO,NENHUM,cg47
QUEIMADURA,SUBSTANTIVO,HIGIENE/SAÚDE,cg50
QUEIMAR,VERBO,NENHUM,cg47
QUEIXO,SUBSTANTIVO,CORPO,cg50
QUEM1,PRONOME,NENHUM,cg20
QUEM2,PRONOME,NENHUM,cg09
QUEM3,PRONOME,NENHUM,cg20
QUENTE,ADJETIVO,NENHUM,cg50
QUERER,VERBO,NENHUM,cg47
QUERER-NAO,LOC.VERB.,NENHUM,cg47
QUESTAO,SUBSTANTIVO,NENHUM,cg14
QUESTIONARIO,SUBSTANTIVO,NENHUM,cg14
QUIABO,SUBSTANTIVO,LEGUME/VERDURA,cg09
QUIBE1,SUBSTANTIVO,ALIMENTO/BEBIDA,cg11
QUIBE2,SUBSTANTIVO,ALIMENTO/BEBIDA,cg57
QUIETO,ADJETIVO,NENHUM,cg61
QUILO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg63
QUILOMETRO,SUBSTANTIVO,NENHUM,cg11
QUIMICA,SUBSTANTIVO,NENHUM,cg39
QUINTA SERIE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg31
QUINTA-FEIRA,SUBSTANTIVO,ANO SIDERAL,cg31
QUINTAL,SUBSTANTIVO,CASA,cg64
QUINTO,NUM.,NUMERAL/DINHEIRO,cg31
QUINZE,NUM.,NUMERAL/DINHEIRO,cg07
QUINZENA,SUBSTANTIVO,ANO SIDERAL,cg07
QUIOSQUE,SUBSTANTIVO,NENHUM,cg47
QUITADO,ADJETIVO,NENHUM,cg64
QUITAR1,VERBO,NENHUM,cg42
QUITAR2,VERBO,NENHUM,cg61
QUITAR3,VERBO,NENHUM,cg05
QUITE,ADJETIVO,NENHUM,cg61
QUIUI,SUBSTANTIVO,FRUTA,cg15
R,SUBSTANTIVO,NENHUM,cg25
RA1,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg22b
RA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg26
RABANETE,SUBSTANTIVO,LEGUME/VERDURA,cg42
RABINO,SUBSTANTIVO,NENHUM,cg14
RABISCAR,VERBO,NENHUM,cg20
RABO,SUBSTANTIVO,NENHUM,cg14
RACA1,SUBSTANTIVO,NENHUM,cg01
RACA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01
RACHAR,VERBO,NENHUM,cg61
RACIOCINAR,VERBO,NENHUM,cg64
RACIOCINIO,SUBSTANTIVO,NENHUM,cg64
RADAR1,SUBSTANTIVO,APARELHO/MÁQUINA,cg50
RADAR2,SUBSTANTIVO,APARELHO/MÁQUINA,cg14
RADICAL,ADJETIVO,NENHUM,cg05
RADIO,SUBSTANTIVO,APARELHO/MÁQUINA,cg52
RAINHA,SUBSTANTIVO,NENHUM,cg18a
RAIOS X,SUBSTANTIVO,APARELHO/MÁQUINA,cg57
RAIVA,SUBSTANTIVO,SENTIMENTOS,cg02
RAIZ,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg02
RALADOR,SUBSTANTIVO,CASA,cg01
RALAR,VERBO,NENHUM,cg01
RAMALHETE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg54
RAMPA,SUBSTANTIVO,NENHUM,cg63
RANCOR,SUBSTANTIVO,SENTIMENTOS,cg02
RANGER,VERBO,NENHUM,cg01
RAPAZ,SUBSTANTIVO,NENHUM,cg52
RAPIDO1,ADJETIVO,NENHUM,cg61
RAPIDO2,ADJETIVO,NENHUM,cg02
RAPIDO3,ADJETIVO,NENHUM,cg07
RAPIDO4,ADV.,NENHUM,cg51a
RAPOSA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg44
RAPTAR,VERBO,NENHUM,cg02
RAPTO,SUBSTANTIVO,NENHUM,cg02
RAQUETE,SUBSTANTIVO,NENHUM,cg02
RARO,ADJETIVO,NENHUM,cg02
RASCUNHO,SUBSTANTIVO,NENHUM,cg02
RASGAR1,VERBO,NENHUM,cg05
RASGAR2,VERBO,NENHUM,cg02
RASO,ADJETIVO,NENHUM,cg63
RASPAR,VERBO,NENHUM,cg53a
RASTEJAR1,VERBO,NENHUM,cg14
RASTEJAR2,VERBO,NENHUM,cg01
RASURA,SUBSTANTIVO,NENHUM,cg05
RATAZANA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20
RATO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20
RATOEIRA,SUBSTANTIVO,NENHUM,cg18a
RAZAO,SUBSTANTIVO,NENHUM,cg25
RAZOAVEL,ADJETIVO,NENHUM,cg64
RE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg25
REAGIR,VERBO,NENHUM,cg02
REAL1,SUBSTANTIVO,NUMERAL/DINHEIRO,cg01
REAL2,ADJETIVO,NENHUM,cg34
REALIDADE,SUBSTANTIVO,NENHUM,cg34
REALIZAR,VERBO,NENHUM,cg01
REBAIXADO,ADJETIVO,NENHUM,cg61
REBELDE,ADJETIVO,NENHUM,cg02
REBELIAO,SUBSTANTIVO,NENHUM,cg47
REBOCAR,VERBO,NENHUM,cg15
REBOCAR2,VERBO,NENHUM,cg62
REBOLAR,VERBO,NENHUM,cg57
REBOQUE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg15
RECADO1,SUBSTANTIVO,NENHUM,cg25
RECADO2,SUBSTANTIVO,NENHUM,cg18a
RECEBER,VERBO,NENHUM,cg02
RECEIO,SUBSTANTIVO,SENTIMENTOS,cg33
RECEITA1,SUBSTANTIVO,NENHUM,cg53a
RECEITA2,SUBSTANTIVO,NENHUM,cg19
RECEM,ADV.,NENHUM,cg42
RECENTE,ADJETIVO,NENHUM,cg21
RECHEIO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg63
RECHONCHUDO,ADJETIVO,NENHUM,cg40
RECIBO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg37a
RECIFE,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg47
RECLAMAR,VERBO,NENHUM,cg14
RECOLHER,VERBO,NENHUM,cg02
RECONCILIACAO,SUBSTANTIVO,NENHUM,cg14
RECONCILIAR,VERBO,NENHUM,cg14
RECONHECER,VERBO,NENHUM,cg32
RECORDACAO,SUBSTANTIVO,NENHUM,cg32
RECORDAR,VERBO,NENHUM,cg32
RECORTAR,VERBO,NENHUM,cg32
RECREIO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05
RECUAR,VERBO,NENHUM,cg53a
RECUPERACAO1,SUBSTANTIVO,NENHUM,cg02
RECUPERACAO2,SUBSTANTIVO,NENHUM,cg25
RECUPERAR,VERBO,NENHUM,cg02
RECURSO1,SUBSTANTIVO,NENHUM,cg20
RECURSO2,SUBSTANTIVO,NENHUM,cg14
RECUSAR,VERBO,NENHUM,cg47
REDACAO,SUBSTANTIVO,NENHUM,cg05
REDE 1,SUBSTANTIVO,CASA,cg24
REDE 2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05
REDE3,SUBSTANTIVO,APARELHO/MÁQUINA,cg25
REDEA,SUBSTANTIVO,NENHUM,cg05
REDONDO,ADJETIVO,COR/FORMA,cg18a
REDOR,SUBSTANTIVO,NENHUM,cg14
REDUCAO,SUBSTANTIVO,NENHUM,cg21
REDUZIR,VERBO,NENHUM,cg08a
REFEICAO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg53a
REFLETIR1,VERBO,NENHUM,cg14
REFLETIR2,VERBO,NENHUM,cg14
REFLEXO,SUBSTANTIVO,NENHUM,cg55
REFORCO,SUBSTANTIVO,NENHUM,cg02
REFORMA1,SUBSTANTIVO,NENHUM,cg02
REFORMA2,SUBSTANTIVO,NENHUM,cg47
REFORMAR,VERBO,NENHUM,cg02
REFRESCAR,VERBO,NENHUM,cg63
REFRIGERANTE1,SUBSTANTIVO,NENHUM,cg14
REFRIGERANTE2,SUBSTANTIVO,NENHUM,cg05
REGER,VERBO,NENHUM,cg14
REGIAO,SUBSTANTIVO,NENHUM,cg47
REGIME,SUBSTANTIVO,NENHUM,cg38
REGIMENTO,SUBSTANTIVO,NENHUM,cg61
REGIONAL,ADJETIVO,NENHUM,cg47
REGISTRO,SUBSTANTIVO,NENHUM,cg02
REGRA,SUBSTANTIVO,NENHUM,cg25
REGRESSAR,VERBO,NENHUM,cg15
REGUA1,SUBSTANTIVO,NENHUM,cg63
REGUA2,SUBSTANTIVO,NENHUM,cg21
REGULAR1,VERBO,NENHUM,cg45
REGULAR2,ADJETIVO,NENHUM,cg64
REI,SUBSTANTIVO,NENHUM,cg18a
REINO,SUBSTANTIVO,NENHUM,cg18a
REITOR,SUBSTANTIVO,NENHUM,cg25
REIVINDICAR,VERBO,NENHUM,cg14
REJEITADO,ADJETIVO,NENHUM,cg44
REJEITAR,VERBO,NENHUM,cg63
RELACAO SEXUAL,SUBSTANTIVO,NENHUM,cg01
RELACAO1,SUBSTANTIVO,NENHUM,cg53a
RELACAO2,SUBSTANTIVO,NENHUM,cg14
RELACIONAMENTO,SUBSTANTIVO,NENHUM,cg14
RELACIONAR,VERBO,NENHUM,cg14
RELAMPAGO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14
RELATAR,VERBO,NENHUM,cg40
RELATORIO,SUBSTANTIVO,NENHUM,cg25
RELAXADO1,ADJETIVO,NENHUM,cg63
RELAXADO2,ADJETIVO,NENHUM,cg64
RELAXAMENTO,SUBSTANTIVO,NENHUM,cg64
RELAXAR,VERBO,NENHUM,cg64
RELIGIAO,SUBSTANTIVO,NENHUM,cg25
RELOGIO1,SUBSTANTIVO,APARELHO/MÁQUINA,cg08a
RELOGIO2,SUBSTANTIVO,APARELHO/MÁQUINA,cg08a
REMAR,VERBO,NENHUM,cg02
REMEDIO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg02
REMETER,VERBO,NENHUM,cg24
REMORSO,SUBSTANTIVO,SENTIMENTOS,cg47
RENDA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20
RENOVAR,VERBO,NENHUM,cg08a
RENUNCIAR,VERBO,NENHUM,cg33
REPARAR,VERBO,NENHUM,cg14
REPARTIR,VERBO,NENHUM,cg63
REPETICAO,SUBSTANTIVO,NENHUM,cg08a
REPETIR,VERBO,NENHUM,cg08a
REPOLHO,SUBSTANTIVO,LEGUME/VERDURA,cg47
REPORTER,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02
REPOUSAR,VERBO,NENHUM,cg63
REPREENDER,VERBO,NENHUM,cg14
REPRESENTANTE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg25
REPRESENTAR,VERBO,NENHUM,cg25
REPROVADO,ADJETIVO,NENHUM,cg25
REPROVAR,VERBO,NENHUM,cg25
RESERVA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02
RESERVADO,ADJETIVO,NENHUM,cg02
RESERVAR1,VERBO,NENHUM,cg53a
RESERVAR2,VERBO,NENHUM,cg02
RESERVATORIO,SUBSTANTIVO,NENHUM,cg08a
RESFRIADO,SUBSTANTIVO,HIGIENE/SAÚDE,cg20
RESIDENCIA,SUBSTANTIVO,CASA,cg63
RESISTIR,VERBO,NENHUM,cg58
RESOLVER,VERBO,NENHUM,cg47
RESPEITAR,VERBO,NENHUM,cg52
RESPEITO,SUBSTANTIVO,SENTIMENTOS,cg52
RESPIRAR,VERBO,NENHUM,cg02
